title,company,location,category,salary_min,salary_max,contract_type,description,search_term,city,salary_avg,has_salary,post_date,post_month,work_type,skills_found
Graduate Finance Data Analyst,Hays,"Manchester, Greater Manchester",Graduate Jobs,31607.44,31607.44,Unknown,"Graduate Finance Data Analyst - Manchester - Immediate start - 5 days in office. Graduate Finance Data AnalystLocation: Openshaw, Manchester (Full-Time, Office-Based) Salary: £30,000 A well-established and growing manufacturing business based in Openshaw, Manchester is currently seeking a highly motivated Graduate Finance Data Analyst to join their finance team. This is an excellent opportunity for a recent graduate looking to kick-start their career within a fast-paced, data-driven manufacturi…",data analyst,Manchester,31607.44,1,2026-06-05,2026-06,On-site,excel
Data Analyst Trainee,ITOL Recruit,UK,IT Jobs,30000.0,50000.0,permanent,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",data analyst,UK,40000.0,1,2026-06-01,2026-06,On-site,
Data Analyst,Dale Farm Ltd,"Belfast, Northern Ireland",IT Jobs,35000.0,35000.0,Unknown,"About the Role Document and develop an understanding of business processes and data flows and reporting requirements. Support the collection, validation and documentationof data requirements from stakeholders. Develop tools that automate existing business processes in line with the Data strategy. Collect, maintain, cleanse and monitor datasets to ensure accuracy and completeness. Analyse data to identify trends, patterns and insights to support business decision making. Support stakeholders wit…",data analyst,Belfast,35000.0,1,2026-06-11,2026-06,On-site,
Data Analyst,Robert Half,"Gloucestershire, South West England",IT Jobs,42022.07,42022.07,contract,"Contract Data Analyst Role: Data Analyst Rate: Competitive Location: Gloucestershire Contract Length: Initially 3 months Working Pattern: Full-time, 5 days per week (Hybrid - 1-2 days per week on-site) My client is seeking an experienced Data Analyst to join their team on an initial three-month contract. This role will support the day-to-day running of the data function, delivering management reporting, business analysis and data-driven insights across the organisation. The successful candidate…",data analyst,Gloucestershire,42022.07,1,2026-06-05,2026-06,Hybrid,
Data Analyst,Advanced Resource Managers Limited,"Gloucestershire, South West England",IT Jobs,104000.0,104000.0,contract,"Data Analyst Contract up to 31/12/2026 Based in Filton Offering £50ph Inside IR35 Do you have experience with Jira or GitHub? Do you have experience with Palantir Foundry (Skywise) or Extended Platform (Jupyter)? Do you want to work with an industry-leading company? If your answer to these is yes, then this could be the role for you! As the Data Analyst, you will be working alongside a market-leading Defence and Aerospace company who are constantly growing and developing. They are always lookin…",data analyst,Gloucestershire,104000.0,1,2026-05-19,2026-05,On-site,
Data Analyst,Certain Advantage,"Bristol, South West England",IT Jobs,93600.0,104000.0,permanent,"Data Analyst Certain Advantage are hiring for a Data Analyst based in Filton. This is an initial contract role running until the end of the year, with a requirement to work onsite three days per week. Your responsibilities: Contribute to development of the fleet diagnostic and predictive maintenance models. Support technical investigations with aircraft fleet data analysis Perform specific data analyses for the Design Office, starting from gathering the need from the requestor, to assessing the…",data analyst,Bristol,98800.0,1,2026-05-19,2026-05,On-site,
Data Analyst,Pertemps Leicester,"Leicester, Leicestershire",IT Jobs,65000.0,104000.0,contract,"Data Analyst Leicester (Hybrid working available) 3 Month Contract Full Time Hours, Monday to Friday Up to £400 per day We’re recruiting for an experienced Data Analyst to join a fast-paced Leicester based company on a 3-month contract. This Data Analyst role is ideal for someone who enjoys working with high-volume data, identifying trends, and turning insight into meaningful operational improvements.This Data Analyst position will focus on real-time monitoring, forecasting and analysing custom…",data analyst,Leicester,84500.0,1,2026-06-11,2026-06,Hybrid,
Data Analyst,Elevation Recruitment Group,"Leeds, West Yorkshire",IT Jobs,45000.0,54000.0,permanent,"Data Analyst Location: West Yorkshire / Leeds (Hybrid Working) Salary: £45,000 - £54,000 Bonus Excellent Benefits Are you a Data Analyst who enjoys turning complex data into meaningful business insight? We're supporting a major Yorkshire-based organisation as they continue to invest in their data and reporting capabilities. As part of an ongoing transformation programme, they're looking to appoint a Data Analyst to help drive smarter decision-making through improved analytics, reporting and v…",data analyst,Leeds,49500.0,1,2026-06-01,2026-06,Hybrid,excel
Data Analyst,Morgan McKinley,"Manchester, Greater Manchester",IT Jobs,140400.0,140400.0,contract,"Data Analyst Location: Manchester (Hybrid: 1 day per week onsite, typically Wednesdays) Duration: August 2026 - April 2027 (Maternity Cover) Rate: £540/day / £72/hour (Inside IR35 / Paid via an Umbrella Company) About the Business We are a global leader in the travel technology sector, dedicated to making it easier for millions of customers to experience the world. This role sits within our Trips & Ground Transportation Business Unit, a high-velocity, tech-first division focused on creating a s…",data analyst,Manchester,140400.0,1,2026-06-09,2026-06,Hybrid,
Data Analyst,Robert Half,"Leeds, West Yorkshire",IT Jobs,35000.0,45000.0,permanent,"Robert Half has partnered exclusively with a growing professional services organisation seeking a talented Data Analyst to join their expanding data and technology team. This is an excellent opportunity for an analytical professional with experience in Power BI, SQL, and data modelling to play a key role in driving business intelligence and data-driven decision-making. Please note this role is 5 days a week onsite in Leeds city centre during probation. After probation you have the option to wor…",data analyst,Leeds,40000.0,1,2026-06-11,2026-06,On-site,"sql, excel, power bi"
